0,1
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wVBs1htbRRCuFM9c3iaCwQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-01-28 18:16:33"") OR ([ds6w:modified]>""2024-05-20 19:06:27"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:wVBs1htbRRCuFM9c3iaCwQ"" that were modified before January 28, 2021, or after May 20, 2024."
context_name:(Create 3DPart*),Find all 3D parts created.
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:hOQhzYEDR_OVUcxW_Z901w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:hOQhzYEDR_OVUcxW_Z901w"" with visibility set to 1."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:tVFMrc2EQlyNCQKuSj5CAQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-04 04:11:39"") OR ([ds6w:modified]>""2024-04-24 06:21:25"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:tVFMrc2EQlyNCQKuSj5CAQ"" that were modified before June 4, 2020, 4:11:39 AM or after April 24, 2024, 6:21:25 AM."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:rt:13096"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:O4dK6-KwQMe_P2Hyt0LqOw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-07-22 15:52:49"") OR ([ds6w:modified]>""2024-03-08 21:50:59"")))","Find all posts, ideas, or questions from the community ""swym:215dsi0708:DSEXT001:community:O4dK6-KwQMe_P2Hyt0LqOw"" created before July 22, 2022, 15:52:49 or after March 8, 2024, 21:50:59."
"NOT(physicalid:7B0B1D18577B0000618C215100141C68)AND NOT(type == ""Workspace Vault"")","Find all physical products that are not with physical ID 7B0B1D18577B0000618C215100141C68 and are not of type ""Workspace Vault""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:EsujDYVaSj-u_EPjhms76w"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:9MuUJ4ilQw6HPhx4d-tZIg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-06-05 05:18:08"") OR ([ds6w:modified]>""2024-05-20 04:41:19"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:9MuUJ4ilQw6HPhx4d-tZIg"" that were modified before June 5, 2019, or after May 20, 2024."
[ds6w:label]:クラウド　ライセンス,"Find documents labeled as ""クラウド　ライセンス""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:xgEwsefCScKJnjpeOlLXRA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-02-01 20:13:45"") OR ([ds6w:modified]>""2024-05-03 16:06:20"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:xgEwsefCScKJnjpeOlLXRA"" that were modified before February 1, 2024, or after May 3, 2024."
"[ds6w:resourceUid]:(""iam:aje5"")","Find the resource with the UID ""iam:aje5""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:-ZM5sgIxTt2jBRwvsJa3uQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-04-04 07:53:53"") OR ([ds6w:modified]>""2023-10-20 14:29:58"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:-ZM5sgIxTt2jBRwvsJa3uQ"" that were modified before April 4, 2023, 7:53:53 AM or after October 20, 2023, 2:29:58 PM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:LYTaYCD9S4uSmGfaJJvDKA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-16 19:56:06"") OR ([ds6w:modified]>""2024-05-16 10:08:58"")))","Find all posts, ideas, or questions in the community LYTaYCD9S4uSmGfaJJvDKA, created before March 16, 2020, 19:56:06, or after May 16, 2024, 10:08:58."
"project AND ([ds6w:type]:(""dsplan:Project"" OR ""dsplan:xProject"" OR ""dsplan:ProjectPlanningTemplate"" OR ""dsplan:AgileProject""))","Find projects that are of type ""dsplan:Project"", ""dsplan:xProject"", ""dsplan:ProjectPlanningTemplate"", or ""dsplan:AgileProject""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:_xjrXuVxSASq8MVuZDry2Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-11-19 13:15:18"") OR ([ds6w:modified]>""2024-05-21 04:28:17"")))","Find all posts, ideas, or questions in the community ""_xjrXuVxSASq8MVuZDry2Q"" created between November 19, 2019, and May 21, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:330"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1577"")",Find the resource with the given UID.
"[ds6w:type]:""foaf:Group"" AND [ds6w:label]:""ds-swym-suggestions-beta""","Find me groups labeled as ""ds-swym-suggestions-beta""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1zs674Y7QAiJErqWuLzKww"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-08-29 18:53:34"") OR ([ds6w:modified]>""2024-05-16 13:59:35"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:1zs674Y7QAiJErqWuLzKww"" that were modified before August 29, 2022, 18:53:34 or after May 16, 2024, 13:59:35."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:7V4pn39HSRyKjoL0JTdLXw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-08-01 23:35:27"") OR ([ds6w:modified]>""2024-05-15 04:43:45"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:7V4pn39HSRyKjoL0JTdLXw"" created before August 1, 2019, or after May 15, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1063"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:S16WGDjYRxWEoNIZp2VRnQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-08-04 20:36:26"") OR ([ds6w:modified]>""2024-05-20 15:55:37"")))","Find all posts, ideas, or questions in the community S16WGDjYRxWEoNIZp2VRnQ, created between August 4, 2020, and May 20, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:8zPaDYoER--tukJw3_QunQ"")",Find the resource with the given UID.
"[ds6w:resourceUid]:(""iam:spc"")",Find resources with resource UID iam:spc.
"[ds6w:resourceUid]:(""4f256afa-ee58-4d20-9cc5-68e0e30dc082"" BOR ""iam:vlm"" BOR ""iam:tje1"" BOR ""iam:lju"" BOR ""iam:gf3"" BOR ""9c5d8a9f-7368-4ce1-84c9-9670ddce1a9a"" BOR ""c65512d6-b990-4cd0-8ad3-6c0150a7d79f"" BOR ""iam:qsg"" BOR ""iam:abt12"" BOR ""iam:gzw"" BOR ""a3a604fb-af7f-446c-9b2b-e612de126fa9"" BOR ""iam:ace9"" BOR ""iam:za6"" BOR ""iam:hme4"" BOR ""iam:ga"" BOR ""iam:lds7"" BOR ""iam:alt4"" BOR ""iam:dmq"" BOR ""iam:jpu2"" BOR ""iam:jcy5"" BOR ""iam:bpr"" BOR ""d0741d71-a8a9-4fb1-b494-4aa94b9b44ea"" BOR ""iam:jbz"" BOR ""iam:ju2"" BOR ""iam:kbd2"" BOR ""iam:sxz"" BOR ""iam:agy"" BOR ""iam:l9t"" BOR ""iam:cvi"" BOR ""iam:fme1"" BOR ""iam:bg9"" BOR ""iam:alt3"" BOR ""iam:cge4"" BOR ""4cc27d5a-3660-4bb5-bf52-8b07b358eb36"" BOR ""iam:ntb"" BOR ""iam:ocl"" BOR ""iam:bcn11"" BOR ""f5e2fab3-f92f-4c3a-ae52-08f36dd96d43"" BOR ""iam:ubv"" BOR ""iam:hy"" BOR ""iam:aas2"" BOR ""iam:rgn3"" BOR ""c5ce5ad5-3fdd-4041-b436-b4e03474a652"" BOR ""iam:iym"" BOR ""iam:cjy1"" BOR ""iam:mbe18"" BOR ""iam:wey"" BOR ""iam:pua"" BOR ""ca731de3-ac2c-4b5a-8e85-af341b1b1b77"" BOR ""iam:tts1"" BOR ""iam:vlf1"" BOR ""iam:ywx"")","Here is the natural language equivalent of the given UQL query:

""Find resources with resource UIDs 4f256afa-ee58-4d20-9cc5-68e0e30dc082, iam:vlm, iam:tje1, iam:lju, gf3, 9c5d8a9f-7368-4ce1-84c9-9670ddce1a9a, c65512d6-b990-4cd0-8ad3-6c0150a7d79f, iam:qsg, iam:abt12, iam:gzw, a3a604fb-af7f-446c-9b2b-e612de126fa9, iam:ace9, iam:za6, iam:hme4, iam:ga, iam:lds7, iam:alt4, iam:dmq, iam:jpu2, iam:jcy5, iam:bpr, d0741d71-a8a9-4fb1-b494-4aa94b9b44ea, iam:jbz, iam:ju2, iam:kbd2, iam:sxz, iam:agy, iam:l9t, iam:cvi, iam:fme1, iam:bg9, iam:alt3, iam:cge4, 4cc27d5a-3660-4bb5-bf52-8b07b358eb36, iam:ntb, iam:ocl, iam:bcn11, f5e2fab3-f92f-4c3a-ae52-08f36dd96d43, iam:ubv, iam:hy, iam:aas2, iam:rgn3, c5ce5ad5-3fdd-4041-b436-b4e03474a652, iam:iym, iam:cjy1, iam:mbe18, iam:wey, iam:pua, ca731de3-ac2c-4b5a-8e85-af341b1b1b77, iam:tts1, iam:vlf1, iam:ywx."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:IV_0Kz2uRgWQLhCrWdsaQQ"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:510"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2011-11-24 19:12:50"") OR ([ds6w:modified]>""2011-12-15 10:16:53"")))","Find all posts, ideas, or questions in the community 510, created between 2011-11-24 19:12:50 and 2011-12-15 10:16:53, and authored by users in the community."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AXmleQQXTEavsyKiaJZW8g"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-03-16 17:21:27"") OR ([ds6w:modified]>""2024-05-17 13:41:54"")))","Find all posts, ideas, or questions in the community AXmleQQXTEavsyKiaJZW8g, created between March 16, 2021, and May 17, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:zx_7ynIsTbSTfoAKzaXf6w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-04-08 20:47:20"") OR ([ds6w:modified]>""2024-05-21 06:30:47"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:zx_7ynIsTbSTfoAKzaXf6w"" that were modified before April 8, 2020, or after May 21, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Wumv4TjITKynEFw64rxIpw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-05-29 16:42:41"") OR ([ds6w:modified]>""2024-05-20 17:21:28"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:Wumv4TjITKynEFw64rxIpw"" that were modified before May 29, 2021, 4:42 PM or after May 20, 2024, 5:21 PM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:KEMp_ZtsQZWUxhdvCtyz-Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-02-14 09:59:58"") OR ([ds6w:modified]>""2024-05-20 08:36:17"")))","Find all posts, ideas, or questions in the community KEMp_ZtsQZWUxhdvCtyz-Q, created before February 14, 2020, or after May 20, 2024."
"[ds6w:type]:""swym:community"" AND [ds6w:label]: (""3DS ITEROP User Community"")","Find me all social communities labeled as ""3DS ITEROP User Community""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wqZaAl09QVqDxzJ9oa_JQg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-05-16 09:55:28"") OR ([ds6w:modified]>""2018-06-27 07:58:24"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:wqZaAl09QVqDxzJ9oa_JQg"" created between May 16, 2018, and June 27, 2018."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2z7RH1beRyOtsbD7pZR96w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-30 13:29:05"") OR ([ds6w:modified]>""2024-04-29 14:59:45"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:2z7RH1beRyOtsbD7pZR96w"" that were modified before June 30, 2020, 13:29:05 or after April 29, 2024, 14:59:45."
[ds6w:resourceUid]:(ac27adc5-2447-44c9-a6e3-e2eb559581e0 OR 0a25facd-3079-42be-a48e-8f4ecfa2f60a),Find resources with resource UIDs ac27adc5-2447-44c9-a6e3-e2eb559581e0 or 0a25facd-3079-42be-a48e-8f4ecfa2f60a.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:btz5-VFLSZmvrdqkibP_-w"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:SImoOPMhR0i4YY3uKIDHRw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-07-19 11:43:25"") OR ([ds6w:modified]>""2024-05-20 11:21:08"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:SImoOPMhR0i4YY3uKIDHRw"" that were modified before July 19, 2022, 11:43:25 AM or after May 20, 2024, 11:21:08 AM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:nJHRjW2jT0awrChG3dRE4Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-03-04 15:17:48"") OR ([ds6w:modified]>""2024-05-16 13:32:30"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:nJHRjW2jT0awrChG3dRE4Q"" that were modified before March 4, 2024, 3:17:48 PM or after May 16, 2024, 1:32:30 PM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2402"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-11-30 19:59:23"") OR ([ds6w:modified]>""2024-05-17 15:38:01"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:2402"" that were created before November 30, 2017, 19:59:23 or after May 17, 2024, 15:38:01."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:2579"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:w7S4BWsjSEasVsuVd5afqA"")",Find the resource with the given UID.
[ds6w:label]:(Cannot import 3DXML file*),"Search for documents with label ""Cannot import 3DXML file*""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:E4vdEXV8TSaVgRRrb6zGzg"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wCaDP15yQVS65BkHsLXUkA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-04-14 12:16:06"") OR ([ds6w:modified]>""2024-05-16 13:53:39"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:wCaDP15yQVS65BkHsLXUkA"" that were modified before April 14, 2021, or after May 16, 2024."
"[ds6w:label]:(Passport proxy PGT error,*)","Find documents labeled as ""Passport proxy PGT error, *""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:j4b346izSySoU-mNtCbe1g"")",Find the resource with the given UID.
[ds6w:label]:(SAO T&M*),Find me all documents with labels starting with SAO T&M.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:kZRx1sq0QMGXlDH8UL3Rkg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-05-28 18:44:40"") OR ([ds6w:modified]>""2024-05-05 04:33:09"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:kZRx1sq0QMGXlDH8UL3Rkg"" that were modified before May 28, 2020, 18:44:40 or after May 5, 2024, 04:33:09."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1934"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-09-06 08:16:34"") OR ([ds6w:modified]>""2019-07-23 16:00:50"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:1934"" that were created before September 6, 2016, or after July 23, 2019."
"[ds6w:resourceUid]:(""<uuid:e3f89a57-1bf2-4d41-8a5f-bc759df6c8f4>"")",Find the resource with the given UUID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:3TrdH6GpRv2cX6a-dV701g"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2224"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-03-27 08:05:16"") OR ([ds6w:modified]>""2021-06-30 13:01:27"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:2224"" that were created before March 27, 2017, or after June 30, 2021."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2200"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-03-24 08:33:24"") OR ([ds6w:modified]>""2024-05-21 01:24:34"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:2200"" that were created before March 24, 2017, or after May 21, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:8NQwRX1iSwqejsdfGpCAWA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-07-15 12:14:20"") OR ([ds6w:modified]>""2024-05-20 14:15:02"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:8NQwRX1iSwqejsdfGpCAWA"" that were modified before July 15, 2021, or after May 20, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wc22IgpCQZmVaXs1coAt0Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-06-10 14:25:31"") OR ([ds6w:modified]>""2024-05-15 16:02:57"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:wc22IgpCQZmVaXs1coAt0Q"" that were modified before June 10, 2022, 14:25:31 or after May 15, 2024, 16:02:57."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:kXW9k3sxS7mbYheIHUUwaQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-12-01 09:11:02"") OR ([ds6w:modified]>""2024-04-08 08:42:44"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:kXW9k3sxS7mbYheIHUUwaQ"" that were modified before December 1, 2023, or after April 8, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1UZpR8X5RQqlSDFMlDAWHg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-08-02 12:23:28"") OR ([ds6w:modified]>""2023-11-10 05:44:30"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:1UZpR8X5RQqlSDFMlDAWHg"" that were created before August 2, 2018, or after November 10, 2023."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:JQe5Ix0BSPCRy9H0KQS9Tg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-10 12:24:52"") OR ([ds6w:modified]>""2024-04-10 08:04:42"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:JQe5Ix0BSPCRy9H0KQS9Tg"" that were modified before November 10, 2022, 12:24:52 or after April 10, 2024, 08:04:42."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:sksx92IDS2CaSBnRRekHQQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-05-25 18:05:51"") OR ([ds6w:modified]>""2022-09-07 12:53:54"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:sksx92IDS2CaSBnRRekHQQ"" that were modified before May 25, 2021, 18:05:51 or after September 7, 2022, 12:53:54."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:IV_0Kz2uRgWQLhCrWdsaQQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-04-17 08:27:42"") OR ([ds6w:modified]>""2024-05-17 01:24:57"")))","Find all posts, ideas, or questions in the community IV_0Kz2uRgWQLhCrWdsaQQ, created before April 17, 2018, or after May 17, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Abk_2z3cRnKmcZkwXaoiyw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-09-07 14:13:19"") OR ([ds6w:modified]>""2024-05-17 15:15:24"")))","Find all posts, ideas, or questions in the community ""Abk_2z3cRnKmcZkwXaoiyw"" that were created before September 7, 2022, 2:13:19 PM or after May 17, 2024, 3:15:24 PM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:CVDcUHY3QVG3-ntAbgWpDA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-27 16:07:55"") OR ([ds6w:modified]>""2020-04-01 12:21:24"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:CVDcUHY3QVG3-ntAbgWpDA"" that were modified before March 27, 2020, 16:07:55 or after April 1, 2020, 12:21:24."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:77"")",Find the resource with the given resource UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:IoUejgf1T1a0UkwxZRnqGg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-11-16 16:25:43"") OR ([ds6w:modified]>""2024-05-15 10:23:07"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:IoUejgf1T1a0UkwxZRnqGg"" that were created before November 16, 2020, 4:25:43 PM or after May 15, 2024, 10:23:07 AM."
Cloud Admin Training,"""Find me all documents with the label 'Cloud Admin Training'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:OJNz_66aTy6OIGflw9xFOw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-06-28 16:49:55"") OR ([ds6w:modified]>""2022-07-01 09:44:14"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:OJNz_66aTy6OIGflw9xFOw"" created before June 28, 2021, 16:49:55 or after July 1, 2022, 09:44:14."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:RFwgKqSzQIGZDBHeZbKBlA"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:JcIjR9nPTSyT9bGatRI0zg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-03-24 13:57:51"") OR ([ds6w:modified]>""2024-05-14 10:05:37"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:JcIjR9nPTSyT9bGatRI0zg"" that were modified before March 24, 2024, 13:57:51 or after May 14, 2024, 10:05:37."
